PRESSURES VOLUMES C_A_VALUES
0 178.343759200000 1.09585788971098
1 177.757068274590 1.09522915330089
2 177.180234371901 1.09461309606470
3 176.612938452214 1.09400927144615
4 176.054876876947 1.09341725552411
5 175.505760422408 1.09283664551630
6 174.965313371936 1.09226705840448
7 174.433272679031 1.09170812966971
8 173.909387194847 1.09115951212709
9 173.393416954186 1.09062087485077
10 172.885132514690 1.09009190218095
11 172.384314344540 1.08957229280555
12 171.890752254406 1.08906175890971
13 171.404244869845 1.08856002538746
14 170.924599140722 1.08806682910989
15 170.451629884553 1.08758191824531
16 169.985159360976 1.08710505162678
17 169.525016874832 1.08663599816328
18 169.071038405548 1.08617453629084
19 168.623066260762 1.08572045346050
20 168.180948752286 1.08527354566013
21 167.744539892704 1.08483361696744
22 167.313699111020 1.08440047913180
23 166.888290985949 1.08397395118273
24 166.468184995540 1.08355385906286
25 166.053255281925 1.08314003528379
26 165.643380430129 1.08273231860295
27 165.238443259915 1.08233055372007
28 164.838330629764 1.08193459099179
29 164.442933252136 1.08154428616314
30 164.052145519251 1.08115950011474
31 163.665865338649 1.08078009862456
32 163.283993977911 1.08040595214327
33 162.906435917899 1.08003693558236
34 162.533098713975 1.07967292811401
35 162.163892864678 1.07931381298202
36 161.798731687374 1.07895947732310
37 161.437531200456 1.07860981199780
38 161.080210011650 1.07826471143048
39 160.726689212086 1.07792407345775
40 160.376892275750 1.07758779918480
41 160.030744964005 1.07725579284929
42 159.688175234877 1.07692796169208
43 159.349113156806 1.07660421583462
44 159.013490826626 1.07628446816248
45 158.681242291502 1.07596863421466
46 158.352303474607 1.07565663207835
47 158.026612104328 1.07534838228888
48 157.704107646792 1.07504380773447
49 157.384731241535 1.07474283356550
50 157.068425640131 1.07444538710820
51 156.755135147623 1.07415139778227
52 156.444805566609 1.07386079702240
53 156.137384143820 1.07357351820344
54 155.832819519083 1.07328949656892
55 155.531061676521 1.07300866916287
56 155.232061897886 1.07273097476468
57 154.935772717899 1.07245635382685
58 154.642147881517 1.07218474841549
59 154.351142303004 1.07191610215347
60 154.062712026727 1.07165036016599
61 153.776814189589 1.07138746902846
62 153.493406985017 1.07112737671671
63 153.212449628429 1.07087003255919
64 152.933902324099 1.07061538719129
65 152.657726233369 1.07036339251142
66 152.383883444126 1.07011400163906
67 152.112336941492 1.06986716887440
68 151.843050579673 1.06962284965971
69 151.575989054897 1.06938100054220
70 151.311117879416 1.06914157913840
71 151.048403356489 1.06890454409997
72 150.787812556340 1.06866985508078
73 150.529313293006 1.06843747270542
74 150.272874102069 1.06820735853873
75 150.018464219213 1.06797947505671
76 149.766053559571 1.06775378561840
77 149.515612697835 1.06753025443885
78 149.267112849094 1.06730884656320
79 149.020525850351 1.06708952784157
80 148.775824142724 1.06687226490505
81 148.532980754261 1.06665702514242
82 148.291969283380 1.06644377667786
83 148.052763882882 1.06623248834935
84 147.815339244521 1.06602312968793
85 147.579670584113 1.06581567089768
86 147.345733627156 1.06561008283638
87 147.113504594940 1.06540633699689
88 146.882960191128 1.06520440548920
89 146.654077588790 1.06500426102302
90 146.426834417870 1.06480587689110
91 146.201208753072 1.06460922695298
92 145.977179102143 1.06441428561942
93 145.754724394539 1.06422102783729
94 145.533823970466 1.06402942907497
95 145.314457570271 1.06383946530827
96 145.096605324173 1.06365111300680
97 144.880247742326 1.06346434912079
98 144.665365705194 1.06327915106832
99 144.451940454234 1.06309549672305
100 144.239953582863 1.06291336440222
101 144.029387027713 1.06273273285514
102 143.820223060156 1.06255358125202
103 143.612444278086 1.06237588917313
104 143.406033597954 1.06219963659835
105 143.200974247046 1.06202480389696
106 142.997249755993 1.06185137181789
107 142.794843951502 1.06167932148014
108 142.593740949312 1.06150863436354
109 142.393925147353 1.06133929229985
110 142.195381219103 1.06117127746403
111 141.998094107150 1.06100457236585
112 141.802049016932 1.06083915984175
113 141.607231410660 1.06067502304689
114 141.413627001423 1.06051214544748
115 141.221221747450 1.06035051081335
116 141.030001846543 1.06019010321068
117 140.839953730667 1.06003090699503
118 140.651064060688 1.05987290680446
119 140.463319721263 1.05971608755297
120 140.276707815870 1.05956043442404
121 140.091215661972 1.05940593286440
122 139.906830786317 1.05925256857794
123 139.723540920373 1.05910032751987
124 139.541333995873 1.05894919589091
125 139.360198140489 1.05879916013181
126 139.180121673628 1.05865020691788
127 139.001093102324 1.05850232315373
128 138.823101117256 1.05835549596820
129 138.646134588864 1.05820971270932
130 138.470182563563 1.05806496093952
131 138.295234260065 1.05792122843088
132 138.121279065792 1.05777850316059
133 137.948306533380 1.05763677330646
134 137.776306377276 1.05749602724258
135 137.605268470427 1.05735625353513
136 137.435182841038 1.05721744093820
137 137.266039669434 1.05707957838987
138 137.097829284979 1.05694265500824
139 136.930542163092 1.05680666008767
140 136.764168922321 1.05667158309506
141 136.598700321504 1.05653741366627
142 136.434127256987 1.05640414160258
143 136.270440759923 1.05627175686729
144 136.107631993628 1.05614024958237
145 135.945692251005 1.05600961002522
146 135.784612952029 1.05587982862551
147 135.624385641299 1.05575089596205
148 135.465001985636 1.05562280275983
149 135.306453771752 1.05549553988705
150 135.148732903966 1.05536909835227
