VOLUMES     C_A_VALUES         PRESSURES
159.3000000 1.0765537362835274 43.1457014745611860
194.7000000 1.1142314546803290 -22.012415505745093
162.8400000 1.0800043116405307 33.1771345119585500
169.9200000 1.0869708132372250 16.1407835053686670
184.0800000 1.1021746329592617 -8.9294061237094400
177.0000000 1.0944142683468580 2.31591698830989050
173.4600000 1.0906792196664696 8.87010459631087400
180.5400000 1.0982369259516607 -3.5955137627000130
191.1600000 1.1101339915619088 -18.089341337848712
187.6200000 1.1061058814211324 -13.743567798924532
166.3800000 1.0834857465162222 24.2114997526210270
178.3437592 1.0958578897109787 0.00000000000000000
